"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"MicroRNAs in cancer","44/310",0.00158337266885658,0.0225114130881114,0,0,1.69466212647553,10.9275171149678,"CDKN1A;HDAC2;ABCB1;TNXB;NOTCH1;TNC;PTEN;PIK3R3;BRCA1;PTGS2;EFNA4;EGFR;RPS6KA5;CCND2;BCL2L11;SOCS1;PLAU;PIM1;DNMT3B;HMOX1;TIMP3;BMF;SOX4;MAPK3;TGFB2;ABCC1;CDKN2A;PRKCE;DNMT3A;VEGFA;CDC25B;FOXP1;ZEB2;MARCKS;CDK6;CYP24A1;FSCN1;BCL2;MDM2;PDCD4;VIM;ZFPM2;TP53;EZH2"
"Cortisol synthesis and secretion","14/65",0.00160795807772224,0.0225114130881114,0,0,2.79811958472328,17.999716186048,"SCARB1;ADCY4;NR0B1;ADCY1;CACNA1C;ADCY8;AGT;CACNA1G;CREB1;CREB3L1;PLCB1;PRKACB;ATF4;CREB5"
"Protein digestion and absorption","19/103",0.00189054471354634,0.0246273972505582,0,0,2.30788154225654,14.472471938134,"COL15A1;COL16A1;COL27A1;KCNE3;COL24A1;COL14A1;COL12A1;ATP1A2;PGA3;SLC8A1;DPP4;COL1A1;COL3A1;COL1A2;COL5A1;COL4A5;COL6A3;COL6A6;COL9A2"
"Gap junction","17/88",0.00191901796757596,0.0246273972505582,0,0,2.44203805510227,15.2772476994869,"GUCY1A2;TUBB;ADCY4;HTR2A;ADCY1;ADCY8;TUBA4A;EGFR;TUBA1C;TUBA1B;TUBA1A;PDGFC;PRKG2;PLCB1;PRKACB;PRKG1;MAPK3"
"Parathyroid hormone synthesis, secretion and action","19/106",0.00265913581027036,0.0317604970053851,0,0,2.22793051672362,13.2110800989723,"MEF2C;CDKN1A;JUND;ADCY4;ADCY1;PLD1;ADCY8;EGFR;LRP6;MAFB;CREB1;CYP24A1;CREB3L1;BCL2;PLCB1;PRKACB;ATF4;CREB5;MAPK3"
"Bladder cancer","10/41",0.00278159308640867,0.0317604970053851,0,0,3.28435890485226,19.327570182336,"CDKN1A;RPS6KA5;CDKN2A;CDK4;MMP2;MDM2;TP53;EGFR;MAPK3;VEGFA"
"Proteoglycans in cancer","31/205",0.00278419941280974,0.0317604970053851,0,0,1.82109951260198,10.7149760445095,"CDKN1A;SDC4;PXN;CAMK2A;PIK3R3;EGFR;PLAU;GPC1;TIMP3;PRKACB;WNT2;MAPK3;TGFB2;LUM;FZD7;HGF;ITGA2;MMP2;WNT5A;GAB1;ANK2;IGF1;ESR1;VEGFA;COL1A1;COL1A2;SMO;MDM2;PDCD4;SDC1;TP53"
"Basal cell carcinoma","13/63",0.00346708939567045,0.0381379833523749,0,0,2.64887766554433,15.0044081478867,"CDKN1A;TCF7L1;FZD7;WNT5A;GLI3;GLI2;DDB2;GADD45G;SMO;SUFU;DVL2;TP53;WNT2"
"Focal adhesion","30/201",0.00392172197137418,0.0400887587586299,0,0,1.79255504199592,9.93294981452955,"TNXB;PXN;TNC;PTEN;PIK3R3;THBS2;EGFR;CCND2;PDGFC;ITGB8;PAK3;MAPK3;JUN;LAMB3;HGF;ITGA2;VEGFC;IGF1;VEGFA;COL1A1;MAPK10;COL1A2;ITGA11;BCL2;COL4A5;COL6A3;ITGA7;COL6A6;TLN2;COL9A2"
"Apoptosis","23/142",0.00392577262826231,0.0400887587586299,0,0,1.97269381793349,10.9291027041668,"JUN;PARP2;PIK3R3;TNFRSF10B;NGF;PTPN13;TUBA4A;CTSS;GADD45G;BBC3;LMNB1;MAPK10;TUBA1C;TUBA1B;BCL2L11;TUBA1A;DDIT3;TNFSF10;BCL2;TP53;MAP3K14;ATF4;MAPK3"
"Longevity regulating pathway","18/102",0.00403490753739457,0.0400887587586299,0,0,2.18518369643862,12.0464192620402,"HSPA8;HDAC2;EHMT2;HSPA6;ADCY4;PIK3R3;IGF1;ADCY1;ADCY8;CREB1;SESN3;CREB3L1;CAMK4;SESN2;PRKACB;TP53;ATF4;CREB5"
"PI3K-Akt signaling pathway","47/354",0.00430147064986781,0.0414016550049776,0,0,1.56755417079734,8.54128650594892,"CHRM2;CDKN1A;TNXB;HSP90AB1;TNC;PTEN;PIK3R3;BRCA1;THBS2;EFNA4;EGFR;CCND2;BCL2L11;GNG2;CREB3L1;PDGFC;THEM4;ITGB8;MAPK3;HSP90AA1;LAMB3;HGF;ITGA2;VEGFC;IGF1;PPP2R3A;NGF;VEGFA;COL1A1;COL1A2;CDK6;CREB1;CDK4;ITGA11;BCL2;MDM2;COL4A5;COL6A3;ITGA7;COL6A6;COL9A2;FGFR4;TP53;FGFR2;ATF4;FGF10;CREB5"
"ECM-receptor interaction","16/88",0.00481552173219112,0.0449448695004505,0,0,2.26506776591094,12.0861997451372,"TNXB;SDC4;LAMB3;ITGA2;TNC;THBS2;COL1A1;COL1A2;ITGA11;ITGB8;COL4A5;COL6A3;ITGA7;SDC1;COL6A6;COL9A2"
"TNF signaling pathway","19/112",0.00498998889687596,0.0452034288305234,0,0,2.08350285769641,11.043235188426,"JUN;JAG1;VCAM1;LIF;PIK3R3;VEGFC;PTGS2;MAPK10;RPS6KA5;CREB1;TRAF3;CREB3L1;IRF1;BCL3;MAP3K14;ATF4;MAP2K6;CREB5;MAPK3"
"MAPK signaling pathway","40/294",0.00529477641837147,0.046594032481669,0,0,1.61078583125827,8.44218415540383,"RASGRF2;CACNA1C;EFNA4;EGFR;CACNA1G;RPS6KA5;DUSP10;PDGFC;PRKACB;MAP3K4;MAP2K6;MAPK3;HSPA8;MEF2C;JUN;TGFB2;JUND;HGF;HSPA6;PLA2G4C;CACNA2D3;VEGFC;PLA2G4A;IGF1;DUSP8;NGF;MAPK8IP3;MAPK8IP1;GADD45G;VEGFA;CDC25B;MAPK10;DDIT3;MAPT;FGFR4;TP53;MAP3K14;FGFR2;ATF4;FGF10"
